Berlin,"Berlin, Stadt",Berlin
Dachau,"Dachau, GKSt",Bayern
Erkrath,"Erkrath, Stadt",Nordrhein-Westfalen
Kamen,"Kamen, Stadt",Nordrhein-Westfalen
Fellbach,"Fellbach, Stadt",Baden-Württemberg
Neustadt am Rübenberge,"Neustadt am Rübenberge, Stadt",Niedersachsen
Brühl,"Brühl, Stadt",Nordrhein-Westfalen
Landau in der Pfalz,"Landau in der Pfalz, Stadt",Rheinland-Pfalz
Bad Kreuznach,"Bad Kreuznach, Stadt",Rheinland-Pfalz
Weinheim,"Weinheim, Stadt",Baden-Württemberg
Erkelenz,"Erkelenz, Stadt",Nordrhein-Westfalen
Rodgau,"Rodgau, Stadt",Hessen
Lahr/Schwarzwald,"Lahr/Schwarzwald, Stadt",Baden-Württemberg
Bitterfeld-Wolfen,"Bitterfeld-Wolfen, Stadt",Sachsen-Anhalt
Lehrte,"Lehrte, Stadt",Niedersachsen
Wismar,"Wismar, Hansestadt",Mecklenburg-Vorpommern
Nordhausen,"Nordhausen, Stadt",Thüringen
Bruchsal,"Bruchsal, Stadt",Baden-Württemberg
Kaarst,"Kaarst, Stadt",Nordrhein-Westfalen
Amberg,Amberg,Bayern
Bietigheim-Bissingen,"Bietigheim-Bissingen, Stadt",Baden-Württemberg
Weiden i.d.OPf.,Weiden i.d.OPf.,Bayern
Eisenach,"Eisenach, Stadt",Thüringen
Homburg,"Homburg, Kreisstadt",Saarland
Borken,"Borken, Stadt",Nordrhein-Westfalen
Kaufbeuren,Kaufbeuren,Bayern
Nettetal,"Nettetal, Stadt",Nordrhein-Westfalen
Oranienburg,"Oranienburg, Stadt",Brandenburg
Pinneberg,"Pinneberg, Stadt",Schleswig-Holstein
Memmingen,Memmingen,Bayern
Gifhorn,"Gifhorn, Stadt",Niedersachsen
Coburg,Coburg,Bayern
Heinsberg,"Heinsberg, Stadt",Nordrhein-Westfalen
Lemgo,"Lemgo, Stadt",Nordrhein-Westfalen
Rottenburg am Neckar,"Rottenburg am Neckar, Stadt",Baden-Württemberg
Stendal,"Stendal, Hansestadt",Sachsen-Anhalt
Halberstadt,"Halberstadt, Stadt",Sachsen-Anhalt
Goslar,"Goslar, Stadt",Niedersachsen
Wunstorf,"Wunstorf, Stadt",Niedersachsen
Pirmasens,"Pirmasens, Stadt",Rheinland-Pfalz
Aurich,"Aurich, Stadt",Niedersachsen
Falkensee,"Falkensee, Stadt",Brandenburg
Monheim am Rhein,"Monheim am Rhein, Stadt",Nordrhein-Westfalen
Bautzen,"Bautzen, Stadt",Sachsen
Königswinter,"Königswinter, Stadt",Nordrhein-Westfalen
Freiberg,"Freiberg, Stadt",Sachsen
Seevetal,Seevetal,Niedersachsen
Buxtehude,"Buxtehude, Stadt",Niedersachsen
Weißenfels,"Weißenfels, Stadt",Sachsen-Anhalt
Löhne,"Löhne, Stadt",Nordrhein-Westfalen
Ansbach,Ansbach,Bayern
Dreieich,"Dreieich, Stadt",Hessen
Bensheim,"Bensheim, Stadt",Hessen
Nürtingen,"Nürtingen, Stadt",Baden-Württemberg
Eberswalde,"Eberswalde, Stadt",Brandenburg
Laatzen,"Laatzen, Stadt",Niedersachsen
Kirchheim unter Teck,"Kirchheim unter Teck, Stadt",Baden-Württemberg
Siegburg,"Siegburg, Stadt",Nordrhein-Westfalen
Hückelhoven,"Hückelhoven, Stadt",Nordrhein-Westfalen
Völklingen,"Völklingen, Stadt",Saarland
Ettlingen,"Ettlingen, Stadt",Baden-Württemberg
Schwabach,Schwabach,Bayern
Freital,"Freital, Stadt",Sachsen
Ahaus,"Ahaus, Stadt",Nordrhein-Westfalen
Neumarkt i.d.OPf.,"Neumarkt i.d.OPf., GKSt",Bayern
Schorndorf,"Schorndorf, Stadt",Baden-Württemberg
Hofheim am Taunus,"Hofheim am Taunus, Kreisstadt",Hessen
Germering,"Germering, GKSt",Bayern
Mettmann,"Mettmann, Stadt",Nordrhein-Westfalen
Pirna,"Pirna, Stadt",Sachsen
Würselen,"Würselen, Stadt",Nordrhein-Westfalen
Haltern am See,"Haltern am See, Stadt",Nordrhein-Westfalen
Kamp-Lintfort,"Kamp-Lintfort, Stadt",Nordrhein-Westfalen
Warendorf,"Warendorf, Stadt",Nordrhein-Westfalen
Voerde (Niederrhein),"Voerde (Niederrhein), Stadt",Nordrhein-Westfalen
Buchholz in der Nordheide,"Buchholz in der Nordheide, Stadt",Niedersachsen
Schwäbisch Hall,"Schwäbisch Hall, Stadt",Baden-Württemberg
St. Ingbert,"St. Ingbert, Stadt",Saarland
Suhl,"Suhl, Stadt",Thüringen
Niederkassel,"Niederkassel, Stadt",Nordrhein-Westfalen
Leinfelden-Echterdingen,"Leinfelden-Echterdingen, Stadt",Baden-Württemberg
Beckum,"Beckum, Stadt",Nordrhein-Westfalen
Ostfildern,"Ostfildern, Stadt",Baden-Württemberg
Maintal,"Maintal, Stadt",Hessen
Bernau bei Berlin,"Bernau bei Berlin, Stadt",Brandenburg
Coesfeld,"Coesfeld, Stadt",Nordrhein-Westfalen
Hoyerswerda,"Hoyerswerda, Stadt",Sachsen
Hemer,"Hemer, Stadt",Nordrhein-Westfalen
Porta Westfalica,"Porta Westfalica, Stadt",Nordrhein-Westfalen
Langen (Hessen),"Langen (Hessen), Stadt",Hessen
Emsdetten,"Emsdetten, Stadt",Nordrhein-Westfalen
Papenburg,"Papenburg, Stadt",Niedersachsen
Wesseling,"Wesseling, Stadt",Nordrhein-Westfalen
Neu-Isenburg,"Neu-Isenburg, Stadt",Hessen
Kempen,"Kempen, Stadt",Nordrhein-Westfalen
Bernburg (Saale),"Bernburg (Saale), Stadt",Sachsen-Anhalt
Wermelskirchen,"Wermelskirchen, Stadt",Nordrhein-Westfalen
Lage,"Lage, Stadt",Nordrhein-Westfalen
Greven,"Greven, Stadt",Nordrhein-Westfalen
Sinsheim,"Sinsheim, Stadt",Baden-Württemberg
Datteln,"Datteln, Stadt",Nordrhein-Westfalen
Saarlouis,"Saarlouis, Kreisstadt",Saarland
Backnang,"Backnang, Stadt",Baden-Württemberg
Zweibrücken,"Zweibrücken, Stadt",Rheinland-Pfalz
Leer (Ostfriesland),"Leer (Ostfriesland), Stadt",Niedersachsen
Meppen,"Meppen, Stadt",Niedersachsen
Wernigerode,"Wernigerode, Stadt",Sachsen-Anhalt
Erding,"Erding, St",Bayern
Königs Wusterhausen,"Königs Wusterhausen, Stadt",Brandenburg
Kehl,"Kehl, Stadt",Baden-Württemberg
Fürstenfeldbruck,"Fürstenfeldbruck, GKSt",Bayern
Altenburg,"Altenburg, Stadt",Thüringen
Merseburg,"Merseburg, Stadt",Sachsen-Anhalt
Limburg a.d. Lahn,"Limburg a.d. Lahn, Kreisstadt",Hessen
Uelzen,"Uelzen, Stadt",Niedersachsen
Mühlhausen/Thüringen,"Mühlhausen/Thüringen, Stadt",Thüringen
Steinfurt,"Steinfurt, Stadt",Nordrhein-Westfalen
Radebeul,"Radebeul, Stadt",Sachsen
Balingen,"Balingen, Stadt",Baden-Württemberg
Tuttlingen,"Tuttlingen, Stadt",Baden-Württemberg
Naumburg (Saale),"Naumburg (Saale), Stadt",Sachsen-Anhalt
Barsinghausen,"Barsinghausen, Stadt",Niedersachsen
Cloppenburg,"Cloppenburg, Stadt",Niedersachsen
Geldern,"Geldern, Stadt",Nordrhein-Westfalen
Goch,"Goch, Stadt",Nordrhein-Westfalen
Viernheim,"Viernheim, Stadt",Hessen
Winsen (Luhe),"Winsen (Luhe), Stadt",Niedersachsen
Mörfelden-Walldorf,"Mörfelden-Walldorf, Stadt",Hessen
Stuhr,Stuhr,Niedersachsen
Schönebeck (Elbe),"Schönebeck (Elbe), Stadt",Sachsen-Anhalt
Crailsheim,"Crailsheim, Stadt",Baden-Württemberg
Riesa,"Riesa, Stadt",Sachsen
Dietzenbach,"Dietzenbach, Kreisstadt",Hessen
Korschenbroich,"Korschenbroich, Stadt",Nordrhein-Westfalen
Georgsmarienhütte,"Georgsmarienhütte, Stadt",Niedersachsen
Seelze,"Seelze, Stadt",Niedersachsen
Jülich,"Jülich, Stadt",Nordrhein-Westfalen
Rheinfelden (Baden),"Rheinfelden (Baden), Stadt",Baden-Württemberg
Bad Vilbel,"Bad Vilbel, Stadt",Hessen
Deggendorf,"Deggendorf, GKSt",Bayern
Schwedt/Oder,"Schwedt/Oder, Stadt",Brandenburg
Wedel,"Wedel, Stadt",Schleswig-Holstein
Ahrensburg,"Ahrensburg, Stadt",Schleswig-Holstein
Lampertheim,"Lampertheim, Stadt",Hessen
Gevelsberg,"Gevelsberg, Stadt",Nordrhein-Westfalen
Kornwestheim,"Kornwestheim, Stadt",Baden-Württemberg
Biberach an der Riß,"Biberach an der Riß, Stadt",Baden-Württemberg
Itzehoe,"Itzehoe, Stadt",Schleswig-Holstein
